variable,hierarchical,sign_constraint,global_prior_mean,global_prior_sd,regional_sd_prior,center
TDP,1,positive,0.20,1,0.5,1
AVP,1,negative,0.20,1,0.5,1
ACV_WD_Any Merch,1,positive,0.15,1,0.5,1
Shopper-Digital,1,positive,0.05,1,0.5,0
Calls,1,positive,0.05,1,0.5,0
Samples,1,positive,0.05,1,0.5,0
Audio,1,positive,0.05,1,0.5,0
DEI,1,free,0,0.5,0.5,0
Direct Partnership,1,positive,0.05,1,0.5,0
Display,1,positive,0.05,1,0.5,0
DTV,1,positive,0.05,1,0.5,0
Ecommerce Display,1,positive,0.05,1,0.5,0
Ecommerce Search,1,positive,0.05,1,0.5,0
Ecommerce Video,1,positive,0.05,1,0.5,0
Expert Display,1,positive,0.05,1,0.5,0
Expert Partnership,1,positive,0.05,1,0.5,0
Expert Search,1,positive,0.05,1,0.5,0
Expert Social,1,positive,0.05,1,0.5,0
Expert Video,1,positive,0.05,1,0.5,0
MSAN,1,positive,0.05,1,0.5,0
OLV,1,positive,0.05,1,0.5,0
Paid Search,1,positive,0.05,1,0.5,0
PR,1,positive,0.05,1,0.5,0
Social,1,positive,0.05,1,0.5,0
TV_GM,1,positive,0.05,1,0.5,0
TV_HM,1,positive,0.05,1,0.5,0
Dummy,0,free,0,1,0.5,0
